"country","InternetSpeedsFixedBroadbandDownloadSpeed","InternetSpeedsMobileDownloadSpeed"
"India",55.8,75.86
"China",230.39,164.14
"United States",215.72,103.69
"Indonesia",28.28,24.65
"Pakistan",13.71,
"Nigeria",18.83,26.67
"Brazil",136.92,47.98
"Bangladesh",38.65,20.66
"Russia",81.95,24.04
"Ethiopia",7.11,32.83
"Mexico",63.43,25.15
"Japan",170.29,47
"Philippines",91.08,28.28
"Egypt",61.22,22.38
"DR Congo",26.86,17.39
"Vietnam",104.08,44.92
"Iran",13.03,31.66
"Turkey",38.12,33.2
"Germany",87.94,64.74
"Thailand",218.94,42.31
"Tanzania",18.52,24.35
"United Kingdom",84.93,47.65
"France",200.99,82.6
"South Africa",41.02,46.09
"Italy",69.99,47.38
"Kenya",9.95,22.37
"Myanmar",20.05,24.25
"Colombia",111.65,11.97
"South Korea",139.83,145.25
"Uganda",12.65,34.49
"Sudan",8.36,7.15
"Spain",189.37,40.47
"Iraq",31.67,31
"Algeria",11.99,19.91
"Argentina",75.39,25.75
"Afghanistan",3.07,4.73
"Poland",133.35,42.79
"Canada",165.67,87.85
"Morocco",24.78,36.21
"Ukraine",72.42,24.62
"Angola",15.04,17.3
"Saudi Arabia",102.41,106.01
"Uzbekistan",54.12,23.69
"Yemen",6.12,7.15
"Mozambique",12.88,20.1
"Ghana",37.27,12.95
"Peru",93.52,17.66
"Malaysia",110.8,66.84
"Nepal",56.26,16.4
"Madagascar",21.44,
"Ivory Coast",60,21.36
"Venezuela",37.43,10.58
"Cameroon",10.34,13.93
"Niger",5.12,
"Australia",54.37,97.44
"Syria",4.06,11.32
"Mali",22.45,
"Taiwan",157.55,75.77
"Burkina Faso",43.3,
"Sri Lanka",19.57,17.96
"Malawi",18.74,
"Zambia",22.01,22.84
"Kazakhstan",47.53,35.9
"Chile",248.65,34.97
"Romania",191.36,50.95
"Somalia",12.47,18.33
"Ecuador",74.33,20.49
"Guatemala",42.41,27.28
"Senegal",21.75,26.65
"Netherlands",177.88,119.34
"Cambodia",22.64,25.53
"Zimbabwe",10.01,21.4
"Guinea",9.32,23.07
"Rwanda",30.92,26.78
"Benin",23.11,
"Burundi",5.43,
"Bolivia",30.71,10.14
"Tunisia",8.81,25.07
"Haiti",32.48,10.94
"Belgium",90.59,68.54
"Dominican Republic",36.62,22.63
"Jordan",109.58,21.58
"Cuba",2.19,3.33
"Honduras",37.96,25.11
"Sweden",127.33,
"Papua New Guinea",11.01,19.92
"Azerbaijan",30.48,45.7
"Tajikistan",20.77,9.67
"Greece",47.5,72.45
"Portugal",150.45,75.71
"Hungary",149.85,44.07
"United Arab Emirates",235.72,269.41
"Belarus",53.8,11.33
"Israel",144.81,37.82
"Togo",28.74,34.23
"Sierra Leone",18.09,
"Austria",82.52,78.92
"Switzerland",187.48,89.45
"Laos",32.82,29.34
"Hong Kong",263.07,69.59
"Nicaragua",49.8,14.31
"Serbia",70.95,52.41
"Libya",8.96,14.17
"Paraguay",83.92,18.52
"Kyrgyzstan",54.37,25.69
"Bulgaria",77.7,142.07
"Turkmenistan",8.68,
"El Salvador",47.99,25.52
"Republic of the Congo",41.32,
"Singapore",264.15,89.45
"Denmark",206.8,143.63
"Slovakia",69.4,45.56
"Finland",102.43,95.48
"Liberia",7.58,
"Norway",123.63,146.02
"Palestine",64.82,16.67
"New Zealand",163.16,72.32
"Costa Rica",79.9,25.89
"Lebanon",8.27,30.9
"Ireland",94.62,32.74
"Mauritania",18.09,
"Oman",67.64,66.02
"Panama",148.76,18.28
"Kuwait",153.58,191.74
"Croatia",56.51,89.51
"Georgia",25.76,33.39
"Mongolia",62.66,18.73
"Uruguay",143.06,66
"Moldova",108.2,30.72
"Bosnia and Herzegovina",28.33,21.27
"Gambia",6.89,
"Albania",52.54,50.06
"Jamaica",62.31,28.51
"Armenia",45.31,19.8
"Qatar",127.04,206.8
"Botswana",7.96,44.59
"Lithuania",103.26,84.8
"Namibia",13.59,19.05
"Gabon",37.47,
"Lesotho",22.46,
"Slovenia",88.68,60.52
"North Macedonia",39.08,81.98
"Latvia",81.01,64.42
"Trinidad and Tobago",100.68,30.72
"Bahrain",79.94,97.19
"Estonia",76.46,72.07
"Mauritius",50.13,42.42
"Cyprus",61.26,67.37
"Djibouti",19.05,
"Fiji",15.79,21.78
"Guyana",63.34,
"Bhutan",12.01,
"Macau",160.52,155.75
"Luxembourg",117.66,85.76
"Suriname",11.38,97.07
"Montenegro",68.38,53.16
"Cape Verde",17.09,
"Western Sahara",20.25,
"Malta",108.19,61.03
"Maldives",13.24,67.59
"Brunei",73.05,85.13
"Belize",44.77,
"Bahamas",54.65,
"Iceland",204.8,139.52
"Vanuatu",10.76,
"Barbados",92.96,
"Saint Lucia",99.96,
"Grenada",76.85,
"Micronesia",13.07,
"Seychelles",27.56,
"Saint Vincent and the Grenadines",90.11,
"Antigua and Barbuda",33.53,
"Andorra",156.9,
"Dominica",88.78,
"Saint Kitts and Nevis",55.9,
"Liechtenstein",152.22,
"Monaco",187.49,
"San Marino",70.82,
"World",98.28998802455627,66.91041084593165
