Performance ID,Activity ID,Activity Type ID,Distance,Calories,Time (minutes),Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Avg Pace (min/km),Best Pace (min/km)
1_AT001,1,AT001,5.26,408.0,30.13,147,169,3.5,167.0,5.73,4.38
2_AT001,2,AT001,5.12,410.0,30.33,148,171,3.5,167.0,5.92,4.98
3_AT001,3,AT001,5.01,403.0,30.2,146,167,3.4,164.0,6.03,3.9
4_AT001,4,AT001,4.8,412.0,30.32,148,166,3.4,163.0,6.32,5.08
5_AT001,5,AT001,5.15,423.0,31.17,148,164,3.5,163.0,6.05,4.2
6_AT001,6,AT001,5.43,429.0,31.22,150,175,3.7,166.0,5.75,3.97
7_AT001,7,AT001,4.99,395.0,30.38,142,158,3.2,167.0,6.1,4.92
8_AT002,8,AT002,5.92,534.0,43.03,139,165,3.3,146.0,7.27,4.72
9_AT001,9,AT001,6.88,547.0,40.45,148,165,3.8,165.0,5.88,4.82
10_AT002,10,AT002,5.26,493.0,41.67,139,165,3.0,137.0,7.93,4.2
11_AT002,11,AT002,4.81,411.0,31.3,146,165,3.3,158.0,6.52,4.82
12_AT002,12,AT002,8.21,677.0,48.02,150,173,4.2,165.0,5.85,4.88
13_AT002,13,AT002,6.96,547.0,38.02,157,177,4.0,167.0,5.47,4.08
14_AT001,14,AT001,5.18,387.0,30.15,141,151,3.1,167.0,5.83,4.27
15_AT002,15,AT002,10.01,832.0,55.95,163,184,5.0,167.0,5.58,4.15
16_AT002,16,AT002,5.23,421.0,30.02,149,167,3.5,169.0,5.73,4.75
17_AT002,17,AT002,4.72,337.0,55.55,82,125,1.3,95.0,11.78,4.55
18_AT002,18,AT002,7.63,616.0,43.03,152,169,4.1,169.0,5.63,4.88
19_AT002,19,AT002,8.08,654.0,45.07,155,173,4.2,170.0,5.58,4.58
20_AT002,20,AT002,7.48,607.0,45.88,146,158,3.5,164.0,6.13,4.67
21_AT002,21,AT002,7.11,603.0,42.67,153,175,4.2,167.0,6.0,5.08
22_AT002,22,AT002,8.8,693.0,50.62,146,169,3.9,165.0,5.75,3.63
23_AT002,23,AT002,8.82,694.0,49.02,157,175,4.2,166.0,5.57,4.83
