Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-01-22 20:19:55,false,"Treadmill Running","5.26","408","00:30:08","147","169","3.5","167","210","5:44","4:23","--","--","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:29.39","6","0.0","5.26","--","00:30:06","00:30:08","--","--"
Treadmill Running,2024-01-18 17:02:50,false,"Treadmill Running","5.12","410","00:30:20","148","171","3.5","167","240","5:55","4:59","--","--","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:46.92","6","0.0","5.12","--","00:30:14","00:30:20","--","--"
Treadmill Running,2024-01-15 19:33:44,false,"Treadmill Running","5.01","403","00:30:12","146","167","3.4","164","246","6:02","3:54","--","--","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:02.12","6","0.0","5.01","--","00:30:01","00:30:12","--","--"
Treadmill Running,2024-01-12 18:19:25,false,"Base","4.80","412","00:30:19","148","166","3.4","163","240","6:19","5:05","--","--","0.97","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:11.23","5","0.0","4.80","--","00:29:38","00:30:19","--","--"
Treadmill Running,2024-01-09 15:51:13,false,"Base","5.15","423","00:31:10","148","164","3.5","163","179","6:03","4:12","--","--","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:21.02","6","0.0","5.15","--","00:31:07","00:31:10","--","--"
Treadmill Running,2024-01-05 07:20:31,false,"Base","5.43","429","00:31:13","150","175","3.7","166","186","5:45","3:58","--","--","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:05.49","6","0.0","5.43","--","00:30:33","00:31:13","--","--"
Treadmill Running,2024-01-02 06:29:33,false,"Base","4.99","395","00:30:23","142","158","3.2","167","173","6:06","4:55","--","--","0.98","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:53.79","5","0.0","4.99","--","00:30:18","00:30:23","--","--"
Running,2023-12-31 08:15:58,false,"Bromsgrove - Base","5.92","534","00:43:02","139","165","3.3","146","231","7:16","4:43","183","192","0.94","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:35.27","6","0.0","5.92","192","00:41:09","00:43:02","164","311"
Treadmill Running,2023-12-28 16:20:32,false,"Base","6.88","547","00:40:27","148","165","3.8","165","173","5:53","4:49","--","--","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:27.27","8","0.0","6.88","--","00:40:15","00:40:27","--","--"
Running,2023-12-25 10:49:19,false,"Cherwell - Base","5.26","493","00:41:40","139","165","3.0","137","193","7:56","4:12","8","8","0.92","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:34.21","6","0.0","5.26","8","00:36:14","00:41:40","63","73"
Running,2023-12-24 11:17:42,false,"Cherwell - Base","4.81","411","00:31:18","146","165","3.3","158","176","6:31","4:49","1","2","0.97","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:18.12","6","0.0","4.81","2","00:30:16","00:31:18","63","67"
Running,2023-12-12 11:51:34,false,"Birmingham - Base","8.21","677","00:48:01","150","173","4.2","165","176","5:51","4:53","55","55","1.04","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.73","10","0.0","8.21","55","00:47:47","00:48:01","92","155"
Running,2023-12-09 12:53:20,false,"Birmingham - Threshold","6.96","547","00:38:01","157","177","4.0","167","182","5:28","4:05","77","78","1.09","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.96","9","0.0","6.96","78","00:37:55","00:38:01","102","175"
Treadmill Running,2023-12-07 17:16:47,false,"Base","5.18","387","00:30:09","141","151","3.1","167","174","5:50","4:16","--","--","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:09.13","7","0.0","5.18","--","00:29:58","00:30:09","--","--"
Running,2023-12-01 12:22:29,false,"Birmingham - Base","10.01","832","00:55:57","163","184","5.0","167","178","5:35","4:09","198","205","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:02.15","11","0.0","10.01","205","00:55:40","00:55:57","118","175"
Running,2023-11-29 11:08:27,false,"Birmingham - Base","5.23","421","00:30:01","149","167","3.5","169","181","5:44","4:45","34","44","1.03","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.100","7","0.0","5.23","44","00:29:58","00:30:01","100","140"
Running,2023-11-26 14:52:08,false,"Birmingham - Base","4.72","337","00:55:33","82","125","1.3","95","246","11:47","4:33","89","79","0.89","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:06.15","6","0.0","4.72","79","00:48:13","00:55:33","111","181"
Running,2023-11-22 10:20:40,false,"Birmingham - Base","7.63","616","00:43:02","152","169","4.1","169","186","5:38","4:53","48","51","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:02.07","9","0.0","7.63","51","00:42:48","00:43:02","125","181"
Running,2023-11-16 14:51:11,false,"Birmingham - Base","8.08","654","00:45:04","155","173","4.2","170","184","5:35","4:35","91","96","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:04.47","10","0.0","8.08","96","00:44:55","00:45:04","102","160"
Running,2023-11-14 16:35:44,false,"Birmingham - Base","7.48","607","00:45:53","146","158","3.5","164","174","6:08","4:40","89","94","0.99","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","02:48.05","8","0.0","7.48","94","00:45:46","00:45:53","126","162"
Running,2023-11-11 07:21:53,false,"Base","7.11","603","00:42:40","153","175","4.2","167","182","6:00","5:05","--","--","1.00","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:41.05","8","0.0","7.11","--","00:42:25","00:42:40","--","--"
Running,2023-11-05 15:50:48,false,"Birmingham - Base","8.80","693","00:50:37","146","169","3.9","165","243","5:45","3:38","51","58","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:55.23","10","0.0","8.80","58","00:50:35","00:50:37","125","163"
Running,2023-11-02 13:01:30,false,"Birmingham - Base","8.82","694","00:49:01","157","175","4.2","166","178","5:34","4:50","56","74","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.69","10","0.0","8.82","74","00:48:18","00:49:01","125","169"
Running,2023-10-31 17:18:06,false,"Birmingham - Base","8.38","668","00:51:08","138","151","3.8","162","194","6:06","5:10","167","168","1.01","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:08.43","10","0.0","8.38","168","00:50:38","00:51:08","125","186"
Running,2023-10-27 17:11:49,false,"Birmingham - Base","6.20","500","00:36:08","149","170","3.6","162","173","5:49","5:10","40","38","1.06","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:30.97","7","0.0","6.20","38","00:35:51","00:36:08","124","154"
Running,2023-10-24 17:20:38,false,"Birmingham - Base","7.32","581","00:44:05","140","158","3.6","163","176","6:01","4:55","73","78","1.02","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:05.06","9","0.0","7.32","78","00:43:47","00:44:05","94","136"
Running,2023-10-21 16:16:33,false,"Birmingham - Threshold","7.63","616","00:42:08","159","183","4.4","162","182","5:31","3:32","68","78","1.12","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:07.68","13","0.0","7.63","78","00:41:10","00:42:08","102","137"
Running,2023-10-17 17:12:40,false,"Base","5.40","412","00:30:02","149","165","3.4","160","173","5:34","4:41","--","--","1.12","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.82","7","0.0","5.40","--","00:29:55","00:30:02","--","--"
Running,2023-10-10 16:01:04,false,"Base","8.63","624","00:47:54","145","158","3.4","162","182","5:33","4:33","--","--","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","03:31.84","9","0.0","8.63","--","00:46:39","00:47:54","--","--"
Running,2023-10-08 16:30:25,false,"Liverpool - Base","6.91","577","00:41:45","154","172","3.9","151","176","6:02","4:35","62","22","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","05:16.88","7","0.0","6.91","22","00:39:09","00:41:45","--","45"
Running,2023-10-03 18:17:04,false,"Birmingham - Base","6.68","484","00:33:01","149","168","3.9","168","184","4:56","3:37","33","30","1.20","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.20","8","0.0","6.68","30","00:32:58","00:33:01","97","133"
Indoor Rowing,2023-10-02 19:38:01,false,"Indoor Rowing","--","184","00:19:53","119","138","1.4","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","444","0","0","0","0:00","0.0","0:00","No","19:52.75","1","0.0","--","--","00:00:00","00:19:53","--","--"
Running,2023-09-30 08:43:47,false,"Birmingham - Base","6.43","523","00:36:00","152","168","3.8","162","174","5:36","3:45","126","123","1.10","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.37","8","0.0","6.43","123","00:35:57","00:36:00","97","209"
Indoor Rowing,2023-09-28 13:58:51,false,"Indoor Rowing","--","263","00:24:29","129","162","2.3","--","--","--","--","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","570","0","0","0","0:00","0.0","0:00","No","24:28.78","1","0.0","--","--","00:00:00","00:24:29","--","--"
Running,2023-09-26 17:02:22,false,"Birmingham - Base","9.61","762","00:54:01","151","171","4.2","167","249","5:37","3:43","57","58","1.07","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:01.10","11","0.0","9.61","58","00:53:48","00:54:01","125","158"
Running,2023-09-22 16:46:48,false,"Birmingham - Base","5.94","489","00:33:03","156","172","3.9","166","176","5:34","4:33","42","35","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:02.73","7","0.0","5.94","35","00:33:01","00:33:03","98","133"
Running,2023-09-19 17:03:43,false,"Birmingham - Base","5.91","465","00:30:03","164","180","4.3","163","178","5:05","3:48","61","41","1.21","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.36","7","0.0","5.91","41","00:29:22","00:30:03","98","135"
Running,2023-09-15 17:11:11,false,"Birmingham - Base","8.73","678","00:48:04","149","173","4.2","164","176","5:30","4:35","52","54","1.11","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.62","10","0.0","8.73","54","00:48:02","00:48:04","102","143"
Pool Swimming,2023-09-14 16:03:40,false,"Pool Swimming","1,000","241","00:23:11","125","152","2.4","--","--","2:19","1:51","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","603","50","26","0","0:00","0.0","0:00","No","23:11.33","1","0.0","1,000","--","00:23:11","00:23:25","--","--"
Running,2023-09-12 15:19:39,false,"Birmingham - Base","8.89","710","00:50:01","149","170","4.5","164","241","5:38","4:23","50","49","1.08","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:00.57","10","0.0","8.89","49","00:49:58","00:50:01","92","135"
Running,2023-09-10 06:51:22,false,"Birmingham - Base","8.55","619","00:50:03","138","164","3.4","163","173","5:51","4:41","73","76","1.05","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.44","10","0.0","8.55","76","00:49:56","00:50:03","126","173"
Running,2023-09-07 06:46:30,false,"East Devon - Base","6.71","628","00:48:46","149","172","3.5","145","249","7:16","4:12","326","328","0.94","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","01:01.09","8","0.0","6.71","328","00:47:08","00:48:46","5","174"
Pool Swimming,2023-09-06 17:31:21,false,"Pool Swimming","650","149","00:27:24","123","145","2.0","--","--","4:06","1:10","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","800","92","30","0","0:00","0.0","0:00","No","27:24.38","1","0.0","650","--","00:26:38","00:27:30","--","--"
Pool Swimming,2023-09-05 16:45:15,false,"Pool Swimming","450","113","00:16:44","111","129","1.0","--","--","3:00","1:10","--","--","0.00","0.0","0.0","0","0.0","0","0","0.0","0.0","399","67","30","0","0:00","0.0","0:00","No","16:44.08","1","0.0","450","--","00:13:31","00:16:49","--","--"
Running,2023-09-05 07:26:18,false,"East Devon - Base","7.40","676","00:52:03","152","207","3.8","151","187","7:02","4:21","197","294","0.94","0.0","0.0","0","0.0","0","0","0.0","0.0","--","0","0","0","0:00","0.0","0:00","No","00:03.32","9","0.0","7.40","294","00:51:23","00:52:03","6","158"
